OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.95400070,Sample-Routine,Water,Surface Water,1954-01-15,,,,,,,,,,,,,,,,,USGS-11170000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26205076,,,Calcium,Dissolved,38.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400070,Sample-Routine,Water,Surface Water,1954-01-15,,,,,,,,,,,,,,,,,USGS-11170000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26205077,,,Magnesium,Dissolved,15.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400070,Sample-Routine,Water,Surface Water,1954-01-15,,,,,,,,,,,,,,,,,USGS-11170000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26205078,,,Sodium,Dissolved,15.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400070,Sample-Routine,Water,Surface Water,1954-01-15,,,,,,,,,,,,,,,,,USGS-11170000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26205080,,,"Sodium, percent total cations",,17,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400070,Sample-Routine,Water,Surface Water,1954-01-15,,,,,,,,,,,,,,,,,USGS-11170000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26205081,,,Potassium,Dissolved,2.20,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300057,Sample-Routine,Water,Surface Water,1953-02-16,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26178459,,,Calcium,Dissolved,35.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300057,Sample-Routine,Water,Surface Water,1953-02-16,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26178460,,,Magnesium,Dissolved,15.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300057,Sample-Routine,Water,Surface Water,1953-02-16,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26178461,,,Sodium,Dissolved,13.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300057,Sample-Routine,Water,Surface Water,1953-02-16,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26178463,,,"Sodium, percent total cations",,16,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300057,Sample-Routine,Water,Surface Water,1953-02-16,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26178464,,,Potassium,Dissolved,1.60,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400061,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26204887,,,Calcium,Dissolved,33.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400061,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26204888,,,Magnesium,Dissolved,12.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400061,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26204889,,,Sodium,Dissolved,10.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400061,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11168000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26204891,,,"Sodium, percent total cations",,14,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
